question,answer,predicted,correct,latency_ms,response
"A 28-year-old woman is brought to the emergency department by a friend after fainting at work and hitting her head. She is conscious, alert, and in pain as she sustained a deep laceration above her right orbit. When asked about prior fainting episodes, she says that she has had them since childhood, but she felt it was ""nothing serious"". She also says she has frequent palpitations, shortness of breath, nausea, and, at times, chest pain and attributes this to ""working too hard."" Her pulse is 110/min, respirations are 20/min, temperature is 37.4°C (99.3°F), and blood pressure is 110/78 mm Hg. Physical examination shows tachycardia and mild hypotension. The patient's electrocardiogram is obtained. Which of the following drugs is the preferable choice for first line treatment of the patient's condition?",C,A,False,13510.2,"Based on the information provided, it is not clear if the patient's symptoms are related to a cardiac condition that would require the use of calcium gluconate, flecainide, magnesium sulfate, or procainamide. The patient's symptoms of fainting, palpitations, shortness of breath, nausea, and chest pain could be due to various causes, including anxiety, dehydration, or an underlying medical condition"
A 2-year-old male is brought to your office by his mother for evaluation. The patient develops a skin presentation similar to Image A on his cheeks and chin when exposed to certain food products. This patient is most likely predisposed to develop which of the following?,C,C,True,9871.0,"Based on the provided context, the most likely answer is:

C) Food allergies, which are typically associated with IgE-mediated reactions, are the most common cause of skin presentations in young children. The symptoms described in the question, such as a skin rash upon exposure to certain food products, are consistent with a food allergy. Therefore, the answer is C."
"A 20-year-old girl presents to a physician following unprotected coitus with her boyfriend about 10 hours ago. She tells the doctor that although they usually use a barrier method of contraception, this time they forgot. She does not want to become pregnant. She also mentions that she has major depression and does not want to take an estrogen-containing pill. After necessary counseling, the physician prescribes an enteric-coated pill containing 1.5 mg of levonorgestrel. Which of the following is the primary mechanism of action of this drug?",C,C,True,12677.0,"The primary mechanism of action of levonorgestrel is prevention of ovulation (C). However, in this case, the question asks for the mechanism of action of the enteric-coated pill containing levonorgestrel, which is primarily used as emergency contraception. The primary mechanism of action of levonorgestrel as emergency contraception is to prevent or delay ovulation by inhibiting the release of the LH and FSH hormones, which are necessary for"
"An investigator is studying the principles of cell-to-cell signaling of the autonomic nervous system. It is found that the adrenal medulla has receptors that, when activated, result in the immediate opening of Na+, Ca2+, and K+ channels, which subsequently leads to the secretion of epinephrine and norepinephrine. These receptors are structurally most similar to which of the following receptors?",D,B,False,12219.0,"Based on the information provided, the receptors in the adrenal medulla that lead to the immediate opening of Na+, Ca2+, and K+ channels upon activation are most likely to be ligand-gated ion channels, such as nicotinic acetylcholine receptors (nAChRs) or P/Q type calcium channels. However, since the question asks for structurally similar receptors, the closest match would"
"An 15-year-old boy is brought to the emergency department after he passed out in the hallway. On presentation, he is alert but confused about why he is in the hospital. He says that he remembers seeing flashes of light to his right while walking out of class but cannot recall what happened next. His next memory is being woken up by emergency responders who wheeled him into an ambulance. A friend who was with him at the time says that he seemed to be swallowing repeatedly and staring out into space. He has never had an episode like this before, and his past medical history is unremarkable. Which of the following characteristics is most likely true of the cause of this patient's symptoms?",D,D,True,12991.0,"Based on the provided information, the symptoms described are more consistent with syncope (D) rather than seizures. Syncope is characterized by a brief loss of consciousness due to a decrease in blood flow to the brain. The patient's description of seeing flashes of light before losing consciousness is a common symptom of syncope. Additionally, the patient's past medical history is unremarkable, which is not consistent with seizure disorders. Therefore, the answer is D: Syncope episodes"
"A 42-year-old man presents with palpitations, 2 episodes of vomiting, and difficulty breathing for the past hour. He says he consumed multiple shots of vodka at a party 3 hours ago but denies any recent drug use. The patient denies any similar symptoms in the past. Past medical history is significant for type 2 diabetes mellitus diagnosed 2 months ago, managed with a single drug that has precipitated some hypoglycemic episodes, and hypothyroidism diagnosed 2 years ago, well-controlled medically. The patient is a software engineer by profession. He reports a 25-pack-year smoking history and currently smokes 1 pack a day. He drinks alcohol occasionally but denies any drug use. His blood pressure is 100/60 mm Hg, pulse is 110/min, and respiratory rate is 25/min. On physical examination, the patient appears flushed and diaphoretic. An ECG shows sinus tachycardia. Which of the following medications is this patient most likely taking to explain his symptoms? ",A,A,True,10279.5,"A. The patient's symptoms of palpitations, vomiting, and difficulty breathing, along with a low blood pressure, tachycardia, and hypoglycemic history, are most consistent with tolbutamide toxicity."
"A 23-year-old woman presents to the emergency department complaining of nausea, vomiting, and abdominal pain. She has a 10-year history of type I diabetes mellitus treated with lispro and glargine. Upon questioning, she mentions that she stopped taking her insulin 3 days ago due to recent malaise and decreased appetite. She denies recent weight change, illicit drug use, or sexual activity. She does not take any other medications and she does not use tobacco products or alcohol. Upon physical examination she is afebrile. Her blood pressure is 105/70 mm Hg, pulse is 108/min and respiratory rate is 25/min. She appears lethargic, with clear breath sounds bilateral and a soft, nontender and nondistended abdomen. Laboratory results are as follows:
Sodium 130 mEq/L
Potassium 5.6 mEq/L
Chloride 91 mEq/L
Bicarbonate 12 mEq/L
Glucose 450 mg/dL
Which of the following is most likely to be found in this patient?",C,C,True,12392.4,"C) Total body potassium depletion

The patient's history of insulin omission and her laboratory results showing a low potassium level (5.6 mEq/L) are indicative of total body potassium depletion, which is a common complication of insulin omission in type 1 diabetes mellitus."
"A 70-year-old woman is brought to the emergency department 1 hour after being found unconscious in her apartment by her neighbor. No medical history is currently available. Her temperature is 37.2°C (99.0°F), pulse is 120/min, respirations are 18/min, and blood pressure is 70/50 mm Hg. Laboratory studies show a glomerular filtration rate of 70 mL/min/1.73 m2 (N > 90) and an increased filtration fraction. Which of the following is the most likely cause of this patient's findings?",B,C,False,11403.4,"Based on the given information, the most likely cause of this patient's findings is salicylate poisoning (C). The increased heart rate, respirations, and decreased blood pressure are consistent with salicylate toxicity. Additionally, the normal glomerular filtration rate and increased filtration fraction are due to the renal vasodilatory effect of salicylates."
"A 33-year-old man with HIV comes to the physician because of a nonproductive cough and shortness of breath for 3 weeks. He feels tired after walking up a flight of stairs and after long conversations on the phone. He appears chronically ill. His temperature is 38.5°C (101.3°F), and pulse is 110/min. Pulse oximetry on room air shows an oxygen saturation of 95%. Upon walking, his oxygen saturation decreases to 85%. Cardiopulmonary examination is normal. Laboratory studies show a CD4+ T-lymphocyte count of 176/mm3 (N > 500). Results of urine Legionella antigen testing are negative. A CT scan of the chest shows diffuse, bilateral ground-glass opacities. Microscopic examination of fluid obtained from bronchoalveolar lavage will most likely show which of the following findings?",A,C,False,9982.7,"C) Septate, acute-branching hyphae (This finding is consistent with a diagnosis of Pneumocystis jirovecii pneumonia, which is a common opportunistic infection in HIV patients with low CD4 counts.)"
"A 52-year-old woman presents to a local hospital complaining about a rash on her face and torso, as well as night sweats, low-grade fever, diarrhea, and unintentional weight loss. Her personal history is relevant for homelessness; she also has a history of risky behaviors such as the use and abuse of intravenous drugs, and unprotected intercourse with multiple sexual partners. Upon physical examination, well-demarcated violaceous plaques and papules distributed on her face and back are visible (see image below). Additional findings include fine reticular and interstitial changes on a chest radiograph, a CD4+ count of 50 cells/mm3, and a positive RPR for HIV. Which of the following is the most likely etiology of this patient’s dermatological condition?",B,A,False,13064.3,"Based on the given information, the most likely etiology of this patient's dermatological condition is:

A) Kaposi Sarcoma (HSV-8 infection)

Justification: The patient's HIV infection, low CD4+ count, and the presence of violaceous plaques and papules are consistent with Kaposi Sarcoma, which is caused by HSV-8. The other options (HHV-3, HH"
"A 47-year-old man comes to the physician because of abdominal pain and foul-smelling, watery diarrhea for several days. He has not had nausea, vomiting, or blood in the stool. He has a history of alcohol use disorder and recently completed a 7-day course of clindamycin for pneumonia. He has not traveled out of the United States. Which of the following toxins is most likely to be involved in the pathogenesis of this patient's symptoms?",D,D,True,7763.6,"Based on the patient's history of recent antibiotic use, the most likely cause of his symptoms is Clostridioides difficile infection. Therefore, the answer is D) Clostridioides difficile cytotoxin."
"An 8-year-old girl is brought to the physician by her parents for a 10-month history of disturbing dreams and daytime sleepiness. She has difficulty falling asleep and says she sometimes sees ghosts just before falling asleep at night. She has had a 7-kg (15-lb) weight gain during this period despite no changes in appetite. She is alert and oriented, and neurologic examination is unremarkable. During physical examination, she spontaneously collapses after the physician drops a heavy book, producing a loud noise. She remains conscious after the collapse. Polysomnography with electroencephalogram is most likely to show which of the following?",C,A,False,9364.7,"A) Periodic sharp waves: The symptoms described, such as collapsing after a loud noise and spontaneous seizure-like activity, are suggestive of epilepsy. Periodic sharp wave complexes (PSGs) are a type of epileptic activity commonly seen on an electroencephalogram (EEG)."
"A 15-year-old boy is brought to the physician by his mother because of 4 months of strange behavior. She says that during this period, he has had episodic mood swings. She has sometimes found him in his room “seemingly drunk” and with slurred speech. These episodes usually last for approximately 15 minutes, after which he becomes irritable. He has had decreased appetite, and his eyes occasionally appear red. He has trouble keeping up with his schoolwork, and his grades have worsened. Physical examination shows an eczematous rash between the upper lip and nostrils. Neurologic examination shows a delay in performing alternating palm movements. Use of which of the following is the most likely cause of this patient's condition?",A,C,False,12662.2,"Based on the provided information, the most likely cause of the patient's condition is:

C) Phencyclidine

Justification: The patient's symptoms of episodic mood swings, slurred speech, red eyes, decreased appetite, and delayed alternating palm movements are consistent with phencyclidine (PCP) intoxication or withdrawal. The eczematous rash between the upper lip and nostrils is not typically associated with"
"In a recently conducted case-control study that aimed to elucidate the causes of myelomeningocele (a neural tube defect in which there is an incomplete formation of the spinal bones), 200 mothers of infants born with the disease and 200 mothers of infants born without the disease were included in the study. Among the mothers of infants with myelomeningocele, 50% reported having experienced pharyngitis (sore throat) during pregnancy, compared with 5% of the mothers whose infants did not develop the condition. The researchers concluded that there is an association between pharyngitis during pregnancy and myelomeningocele; this conclusion was backed up by statistical analysis of the obtained results. Which type of bias may hamper the validity of the researchers’ conclusions?",B,B,True,9987.4,"The correct answer is B) Recall bias. This is because the mothers of infants with myelomeningocele may be more likely to remember and report pharyngitis during pregnancy due to the birth of a child with a neural tube defect, which could lead to an overestimation of the true association between the two conditions."
"A 28-year-old man presents with a 3-day history of cough and fever. He says that he recently became a factory worker in a huge plant that is involved in the polyvinyl chloride (PVC) polymerization process. Because he has heard about occupational diseases specifically related to this particular industry, he asks the physician whether his new job is associated with any serious conditions. His physician mentions that polyvinyl chloride is a known chemical carcinogen and that workers who have been exposed to it are known to be at increased risk of developing a particular type of cancer. Which of the following cancers is the physician most likely talking about?",C,B,False,8195.1,"Based on the information provided, the physician is most likely talking about bronchogenic carcinoma (B). The patient's symptoms of cough and fever, along with his recent exposure to a known carcinogen in the workplace, increase the likelihood of lung cancer."
"A 45-year-old woman presents with severe, acute-onset colicky abdominal pain and nausea. She also describes bone pain, constipation, headache, decreased vision, and menstrual irregularity. Past medical history is significant for surgical removal of an insulinoma one year ago. Two months ago, she was prescribed fluoxetine for depression but hasn’t found it very helpful. Family history is significant for a rare genetic syndrome. Non-contrast CT, CBC, CMP, and urinalysis are ordered in the diagnostic work-up. Urine sediment is significant for the findings shown in the picture. Which of the following will also be a likely significant finding in the diagnostic workup?",C,D,False,13627.1,"Based on the given information, the most likely significant finding in the diagnostic workup would be D) Hypokalemia and non-anion gap acidosis. The patient's history of insulinoma and current symptoms of bone pain, constipation, headache, decreased vision, and menstrual irregularity suggest the possibility of recurrence or metastasis of the insulinoma. Insulinomas are pancreatic neuroendocrine tumors that"
"A 66-year-old woman is brought to the emergency department 4 hours after falling and hitting her head while skiing. Initially, she refused treatment, but an hour ago she began to develop a severe headache, nausea, and right leg weakness. She has osteopenia. Her only medication is a daily multivitamin. She has no visual changes and is oriented to person, time, and place. Her temperature is 37.2°C (99°F), pulse is 72/min, respirations are 18/min and regular, and blood pressure is 128/75 mm Hg. Examination shows a 5-cm bruise on the left side of her skull. The pupils are equal, round, and reactive to light and accommodation. Muscle strength is 0/5 in her right knee and foot. Which of the following is the most likely cause of this patient's symptoms?",C,D,False,13425.2,"Based on the information provided, the most likely cause of this patient's symptoms is D) Extracranial herniation. The absence of pupillary changes and normal mental status argue against an intracranial process such as subfalcine herniation, tonsilar herniation, or uncal herniation. The presence of osteopenia and a recent fall increase the likelihood of an extracranial process such as a hematoma or epid"
"A previously healthy 5-year-old boy is brought to the emergency department because of fever, irritability, malaise, and left knee pain for 4 days. Four days ago, he fell off his bike and scraped his elbow. His temperature is 39.1°C (102.4°F). The patient walks with a limp. Examination shows swelling and point tenderness over the medial aspect of the left knee. An MRI of the left knee shows edema of the bone marrow and destruction of the medial metaphysis of the tibia. Which of the following is the most likely causal organism?",B,C,False,11979.1,"Based on the given symptoms and imaging findings, it is most likely that the causal organism is Pseudomonas aeruginosa. This organism is known to cause osteomyelitis, particularly in cases of hematogenous spread or contaminated wounds. The imaging findings of bone marrow edema and destruction of the medial metaphysis of the tibia are consistent with this diagnosis. (C)"
"A 72-year-old man with chronic lymphocytic leukemia (CLL) comes to the physician with a 2-day history of severe fatigue and dyspnea. He regularly visits his primary care physician and has not required any treatment for his underlying disease. His temperature is 36.7°C (98.1°F), pulse is 105/min, respiratory rate is 22/min, and blood pressure is 125/70 mm Hg. The conjunctivae are pale. Examination of the heart and lungs shows no abnormalities. The spleen is palpable 3 cm below the costal margin. No lymphadenopathy is palpated. Laboratory studies show:
Hemoglobin 7 g/dL
Mean corpuscular volume 105 μm3
Leukocyte count 80,000/mm3
Platelet count 350,000/mm3
Serum  
Bilirubin Total // Direct 6 mg/dL / 0.8 mg/dL
Lactate dehydrogenase 650 U/L (Normal: 45–90 U/L)
Based on these findings, this patient’s recent condition is most likely attributable to which of the following?",A,B,False,14467.6,"Based on the given information, the patient's recent condition is most likely attributable to:

B) Bone marrow involvement

Justification: The patient's leukocyte count is significantly elevated, and the presence of a palpable spleen and anemia (low hemoglobin level) suggest bone marrow involvement in the progression of his chronic lymphocytic leukemia. Additionally, the lactate de"
"A 22-year-old man volunteers for a research study on lung function. He has no history of lung disease or allergies and does not smoke. His pulmonary blood flow is measured in the various labeled segments of the lungs while standing. Then the volunteer, still standing, is given very low continuous positive airway pressure and the blood flow measured again. Which of the following sets of findings are most likely to be present in the second measurements relative to the first?",A,A,True,7695.7,"A) Reduced blood flow in zone 1: The application of continuous positive airway pressure (CPAP) increases the pressure in the alveoli, which can compress the small vessels in the periphery of the lungs (zone 1) and decrease blood flow."
"A 34-year-old man presents to the behavioral health clinic for an evaluation after seeing animal-shaped clouds in the form of dogs, cats, and monkeys. The patient says that these symptoms have been present for more than 2 weeks. Past medical history is significant for simple partial seizures for which he takes valproate, but he has not had his medication adjusted in several years. His vital signs include: blood pressure of 124/76 mm Hg, heart rate of 98/min, respiratory rate of 12/min, and temperature of 37.1°C (98.8°F). On physical examination, the patient is alert and oriented to person, time, and place. Affect is not constricted or flat. Speech is of rapid rate and high volume. Pupils are equal and reactive bilaterally. The results of a urine drug screen are as follows:
Alcohol positive
Amphetamine negative
Benzodiazepine negative
Cocaine positive
GHB negative
Ketamine negative
LSD negative
Marijuana negative
Opioids negative
PCP negative
Which of the following is the most likely diagnosis in this patient?",B,A,False,9936.4,"A) Cocaine intoxication: The patient's positive urine test for cocaine is the most likely explanation for his visual hallucinations. Cocaine use can cause hallucinations, including seeing animal shapes, as a symptom of intoxication."
"A 72-year-old woman is brought to the emergency department by her daughter because of left-sided weakness for 1 hour. She does not have headache or blurring of vision. She has hypertension, hypercholesterolemia, type 2 diabetes, and coronary artery disease. She has smoked one half-pack of cigarettes daily for 45 years. Her medications include atorvastatin, amlodipine, metformin, and aspirin. Her temperature is 37°C (98.6°F), pulse is 92/min, and blood pressure is 168/90 mm Hg. Examination shows a left facial droop. Muscle strength is decreased on the left side. Deep tendon reflexes are 3+ on the left. Sensation to pinprick, light touch, and vibration as well as two-point discrimination are normal. Which of the following is the most likely cause of these findings?",B,A,False,12441.3,"A) Atherosclerosis of the internal carotid artery: The patient's age, hypertension, hypercholesterolemia, diabetes, coronary artery disease, and smoking history increase the risk for atherosclerosis, which can cause a stroke in the territory of the internal carotid artery, leading to the observed left-sided weakness."
