question,answer,predicted,correct,latency_ms,response
"A 28-year-old woman is brought to the emergency department by a friend after fainting at work and hitting her head. She is conscious, alert, and in pain as she sustained a deep laceration above her right orbit. When asked about prior fainting episodes, she says that she has had them since childhood, but she felt it was ""nothing serious"". She also says she has frequent palpitations, shortness of breath, nausea, and, at times, chest pain and attributes this to ""working too hard."" Her pulse is 110/min, respirations are 20/min, temperature is 37.4°C (99.3°F), and blood pressure is 110/78 mm Hg. Physical examination shows tachycardia and mild hypotension. The patient's electrocardiogram is obtained. Which of the following drugs is the preferable choice for first line treatment of the patient's condition?",C,B,False,17567.0,"Based on the given information, the patient's symptoms suggest possible cardiac causes for her syncope (fainting) and palpitations. However, there are no clear signs of life-threatening cardiac arrhythmias on her initial presentation. The electrocardiogram (ECG) will provide valuable information to help determine the specific arrhythmia, if any.

Given the available options, none of them are the first-line treatment for the patient's condition based on the information provided. The patient's symptoms could be indicative of various conditions, including anxiety, anemia, or cardiac causes. Further evaluation, including an ECG, is necessary to determine the underlying cause and guide appropriate treatment.

Answer: None of the above."
A 2-year-old male is brought to your office by his mother for evaluation. The patient develops a skin presentation similar to Image A on his cheeks and chin when exposed to certain food products. This patient is most likely predisposed to develop which of the following?,C,A,False,21264.9,"Based on the information provided, the patient's symptoms suggest a food-induced skin reaction, specifically an allergic contact dermatitis. This type of reaction is characterized by a rash that appears after contact with an allergen. The fact that the rash appears on the cheeks and chin when the patient is exposed to certain food products further supports this diagnosis.

Fingernail pitting is a sign of psoriasis or other chronic skin conditions, which is not described in the patient's presentation.

Arthralgias (joint pain) and cyanosis (bluish discoloration of the skin) are not related to the skin presentation described in the question.

Wheezing is a sign of respiratory distress, which is not described in the patient's presentation.

Therefore, the answer is:

Answer: None of the above. However, the patient's symptoms are consistent with a food allergy, specifically a contact allergy."
"A 20-year-old girl presents to a physician following unprotected coitus with her boyfriend about 10 hours ago. She tells the doctor that although they usually use a barrier method of contraception, this time they forgot. She does not want to become pregnant. She also mentions that she has major depression and does not want to take an estrogen-containing pill. After necessary counseling, the physician prescribes an enteric-coated pill containing 1.5 mg of levonorgestrel. Which of the following is the primary mechanism of action of this drug?",C,D,False,18168.6,"The primary mechanism of action of levonorgestrel in preventing pregnancy is D) Thickening of the cervical mucus.

Explanation:
Levonorgestrel is a progestin, a synthetic form of the hormone progesterone. It works primarily by thickening the cervical mucus, making it more difficult for sperm to reach the egg. This effect makes it more effective in preventing pregnancy when taken after unprotected intercourse. It does not significantly affect the motility of cilia in the fallopian tubes (A), does not cause endometrial atrophy (B), and does not directly inhibit ovulation (C). However, it can indirectly delay ovulation by inhibiting follicular development, but this is not its primary mechanism of action."
"An investigator is studying the principles of cell-to-cell signaling of the autonomic nervous system. It is found that the adrenal medulla has receptors that, when activated, result in the immediate opening of Na+, Ca2+, and K+ channels, which subsequently leads to the secretion of epinephrine and norepinephrine. These receptors are structurally most similar to which of the following receptors?",D,A,False,29804.7,"The receptors described in the question are activated by the binding of neurotransmitters, leading to the immediate opening of ion channels and the release of hormones. This type of receptor is called a ligand-gated ion channel.

The H2 receptors in the stomach are G-protein-coupled receptors, not ligand-gated ion channels.

The M2 receptors in the heart are also G-protein-coupled receptors.

The D2 receptors in the basal ganglia are also G-protein-coupled receptors.

The NM receptors in the quadriceps femoris muscle are nicotinic acetylcholine receptors, which are ligand-gated ion channels. However, they are activated by acetylcholine, not the neurotransmitters epinephrine and norepinephrine.

Therefore, none of the options are the correct answer. However, if we consider the functional similarity of the receptors, the closest match would be the NM receptors in the sympathetic ganglia, which are also activated by the release of neurotransmitters and lead to the opening of ion channels. However, these receptors are not specifically identified as NM receptors in the question, and they are located in the"
"An 15-year-old boy is brought to the emergency department after he passed out in the hallway. On presentation, he is alert but confused about why he is in the hospital. He says that he remembers seeing flashes of light to his right while walking out of class but cannot recall what happened next. His next memory is being woken up by emergency responders who wheeled him into an ambulance. A friend who was with him at the time says that he seemed to be swallowing repeatedly and staring out into space. He has never had an episode like this before, and his past medical history is unremarkable. Which of the following characteristics is most likely true of the cause of this patient's symptoms?",D,A,False,30390.3,"Based on the information provided, the patient's symptoms are most likely consistent with an absence seizure. Absence seizures are characterized by brief, recurrent episodes of impaired consciousness, often described as feeling ""spaced out"" or ""absent."" They typically last between 5-15 seconds and may be accompanied by automatic behaviors such as swallowing or lip-smacking. Absence seizures do not begin with muscle contractions (A), do not have specific EEG findings of spike and wave discharges (B), and can occur in various areas of the brain, including the bilateral temporal lobes or the occipital lobes (C or D). However, the description of the patient's symptoms, including the witness report of staring out of space and repetitive swallowing, is more consistent with a focal onset in the bilateral temporal lobes or bilateral frontal lobes, rather than a unilateral onset in the left occipital lobe (C). Therefore, the most likely answer is:

D) Starts in the left occipital lobe and then generalizes (This is not the correct answer, as absence seizures do not typically start in one hemisphere and then generalize to the other hemisphere).

However, based on the information given, the most likely answer is:

C) Isolated to the left occipital lobe ("
"A 42-year-old man presents with palpitations, 2 episodes of vomiting, and difficulty breathing for the past hour. He says he consumed multiple shots of vodka at a party 3 hours ago but denies any recent drug use. The patient denies any similar symptoms in the past. Past medical history is significant for type 2 diabetes mellitus diagnosed 2 months ago, managed with a single drug that has precipitated some hypoglycemic episodes, and hypothyroidism diagnosed 2 years ago, well-controlled medically. The patient is a software engineer by profession. He reports a 25-pack-year smoking history and currently smokes 1 pack a day. He drinks alcohol occasionally but denies any drug use. His blood pressure is 100/60 mm Hg, pulse is 110/min, and respiratory rate is 25/min. On physical examination, the patient appears flushed and diaphoretic. An ECG shows sinus tachycardia. Which of the following medications is this patient most likely taking to explain his symptoms? ",A,A,True,30694.9,"Based on the given information, the patient's symptoms of palpitations, vomiting, difficulty breathing, and a flushed appearance suggest the possibility of an acute metabolic event, such as a hypoglycemic episode. The patient's history of type 2 diabetes mellitus and recent alcohol consumption are significant risk factors for this condition.

The medications listed in the options are:

A) Tolbutamide: This is an oral sulfonylurea antidiabetic medication that stimulates insulin secretion from the pancreas. It can cause hypoglycemia as a side effect, especially when taken in combination with alcohol.

B) Sitagliptin: This is a dipeptidyl peptidase-4 (DPP-4) inhibitor, which is a type of antidiabetic medication that helps to increase insulin secretion and decrease glucagon secretion. It does not directly cause hypoglycemia as a side effect.

C) Levothyroxine: This is a synthetic form of thyroid hormone used to treat hypothyroidism. It is not known to cause hypoglycemia as a side effect.

D) Pioglitazone: This is a thiazolidinedione (TZD) antidiabetic medication that helps to improve insulin sensitivity"
"A 23-year-old woman presents to the emergency department complaining of nausea, vomiting, and abdominal pain. She has a 10-year history of type I diabetes mellitus treated with lispro and glargine. Upon questioning, she mentions that she stopped taking her insulin 3 days ago due to recent malaise and decreased appetite. She denies recent weight change, illicit drug use, or sexual activity. She does not take any other medications and she does not use tobacco products or alcohol. Upon physical examination she is afebrile. Her blood pressure is 105/70 mm Hg, pulse is 108/min and respiratory rate is 25/min. She appears lethargic, with clear breath sounds bilateral and a soft, nontender and nondistended abdomen. Laboratory results are as follows:
Sodium 130 mEq/L
Potassium 5.6 mEq/L
Chloride 91 mEq/L
Bicarbonate 12 mEq/L
Glucose 450 mg/dL
Which of the following is most likely to be found in this patient?",C,A,False,29780.9,"Based on the given information, the patient presents with symptoms of hyperosmolar hyperglycemic non-ketotic coma (HHNC), which is a metabolic complication of diabetes mellitus. This condition is characterized by hyperglycemia, dehydration, and metabolic acidosis.

The laboratory results support this diagnosis, as the patient has a high glucose level (450 mg/dL), low potassium level (5.6 mEq/L), and normal-to-low sodium level (130 mEq/L). The low potassium level is likely due to the shift of potassium into the cells in response to the hyperglycemia.

Given this information, the most likely answer is:

C) Total body potassium depletion.

Explanation:
The patient's symptoms and laboratory results are consistent with HHNC, which is characterized by hyperglycemia, dehydration, and metabolic acidosis. The low potassium level is likely due to the shift of potassium into the cells in response to the hyperglycemia, resulting in total body potassium depletion.

Therefore, the answer is: C) Total body potassium depletion."
"A 70-year-old woman is brought to the emergency department 1 hour after being found unconscious in her apartment by her neighbor. No medical history is currently available. Her temperature is 37.2°C (99.0°F), pulse is 120/min, respirations are 18/min, and blood pressure is 70/50 mm Hg. Laboratory studies show a glomerular filtration rate of 70 mL/min/1.73 m2 (N > 90) and an increased filtration fraction. Which of the following is the most likely cause of this patient's findings?",B,C,False,29659.0,"Based on the given symptoms and laboratory findings, the most likely cause of this patient's findings is C) Salicylate poisoning.

Reasoning:

The patient's vital signs suggest a state of shock, with a low blood pressure and tachycardia. The normal temperature and respirations are inconsistent with this picture, suggesting that the patient may be in compensated shock.

The laboratory studies show a normal or increased glomerular filtration rate (GFR) and an increased filtration fraction. This finding is not consistent with nephrolithiasis, which would typically cause a decreased GFR due to obstruction of the urinary tract.

Profuse diarrhea would typically cause a decreased GFR due to decreased effective circulating volume and decreased renal perfusion.

Salicylate poisoning can cause a metabolic acidosis, which can lead to compensatory hyperventilation and normal or increased respirations. Salicylates can also cause renal vasoconstriction, leading to an increased filtration fraction.

Multiple myeloma is a malignancy that can cause renal insufficiency, but it typically causes a decreased GFR due to damage to the nephrons.

Therefore, the most likely cause of this patient's findings is salicylate poisoning."
"A 33-year-old man with HIV comes to the physician because of a nonproductive cough and shortness of breath for 3 weeks. He feels tired after walking up a flight of stairs and after long conversations on the phone. He appears chronically ill. His temperature is 38.5°C (101.3°F), and pulse is 110/min. Pulse oximetry on room air shows an oxygen saturation of 95%. Upon walking, his oxygen saturation decreases to 85%. Cardiopulmonary examination is normal. Laboratory studies show a CD4+ T-lymphocyte count of 176/mm3 (N > 500). Results of urine Legionella antigen testing are negative. A CT scan of the chest shows diffuse, bilateral ground-glass opacities. Microscopic examination of fluid obtained from bronchoalveolar lavage will most likely show which of the following findings?",A,D,False,25811.4,"Based on the given symptoms and findings, the most likely diagnosis is HIV-associated pulmonary opportunistic infection, likely Pneumocystis jirovecii pneumonia (PJP). This condition is common in HIV patients with low CD4+ T-lymphocyte counts.

The CT scan findings of diffuse, bilateral ground-glass opacities are consistent with PJP. Microscopic examination of fluid obtained from bronchoalveolar lavage (BAL) in PJP typically shows:

1. Large numbers of Pneumocystis jirovecii trophozoites, which are not stained with silver or acid-fast.
2. No cysts or disc-shaped structures.
3. No septate hyphae or gram-negative bacilli.

Therefore, the answer is: D) Silver-staining, gram-negative bacilli - This is a wrong answer.

Answer: C) This question is incorrect, as the answer should be: No significant findings on microscopic examination of BAL fluid in PJP."
"A 52-year-old woman presents to a local hospital complaining about a rash on her face and torso, as well as night sweats, low-grade fever, diarrhea, and unintentional weight loss. Her personal history is relevant for homelessness; she also has a history of risky behaviors such as the use and abuse of intravenous drugs, and unprotected intercourse with multiple sexual partners. Upon physical examination, well-demarcated violaceous plaques and papules distributed on her face and back are visible (see image below). Additional findings include fine reticular and interstitial changes on a chest radiograph, a CD4+ count of 50 cells/mm3, and a positive RPR for HIV. Which of the following is the most likely etiology of this patient’s dermatological condition?",B,A,False,29974.9,"Based on the patient's symptoms and medical history, the most likely etiology of her dermatological condition is:

1. The patient presents with a rash on her face and torso, night sweats, low-grade fever, diarrhea, and unintentional weight loss. These symptoms are consistent with advanced HIV infection.
2. The patient has a history of homelessness and risky behaviors such as intravenous drug use and unprotected intercourse with multiple sexual partners, increasing her risk for HIV infection.
3. Upon physical examination, the patient has well-demarcated violaceous plaques and papules on her face and back, which are consistent with Kaposi sarcoma (KS), a malignancy associated with HIV infection.
4. The patient's chest radiograph shows fine reticular and interstitial changes, which are also consistent with HIV infection.
5. The patient's CD4+ count is 50 cells/mm3, which is extremely low and indicative of advanced HIV infection.
6. The patient has a positive RPR for HIV, confirming the diagnosis.

Therefore, the most likely etiology of this patient's dermatological condition is:

Answer: B) HHV-8 infection (Kaposi sarcoma is caused by HHV-8)"
